latitude,longitude,timestamp,traj_id
35.1176,275.4167,1695332963.0,0
35.3284,275.6972,1695332968.0,0
35.5595,276.0076,1695332974.0,0
35.7686,276.2914,1695332979.0,0
35.9771,276.5769,1695332984.0,0
36.2054,276.89279999999997,1695332989.0,0
36.4122,277.1816,1695332994.0,0
36.6387,277.5012,1695333000.0,0
36.8437,277.79359999999997,1695333005.0,0
37.048,278.0877,1695333010.0,0
37.2716,278.413,1695333015.0,0
37.4741,278.7107,1695333020.0,0
37.6958,279.04,1695333026.0,0
37.8965,279.3413,1695333031.0,0
38.0962,279.6444,1695333036.0,0
38.3149,279.9798,1695333041.0,0
38.5128,280.2865,1695333046.0,0
38.7293,280.626,1695333052.0,0
38.9253,280.9366,1695333057.0,0
39.1202,281.249,1695333062.0,0
39.3336,281.5948,1695333068.0,0
39.5265,281.911,1695333073.0,0
39.7185,282.2292,1695333078.0,0
39.9285,282.5813,1695333083.0,0
40.1183,282.9035,1695333088.0,0
40.326,283.26009999999997,1695333094.0,0
40.5137,283.5863,1695333099.0,0
40.7004,283.9145,1695333104.0,0
40.9046,284.2778,1695333109.0,0
41.089,284.6101,1695333114.0,0
41.2907,284.9779,1695333120.0,0
41.4728,285.3144,1695333125.0,0
41.6538,285.6528,1695333130.0,0
41.8516,286.02750000000003,1695333135.0,0
42.0481,286.4047,1695333141.0,0
42.2254,286.7497,1695333146.0,0
42.4016,287.0967,1695333151.0,0
42.5941,287.4809,1695333156.0,0
42.7678,287.83230000000003,1695333161.0,0
42.9403,288.1858,1695333166.0,0
43.1286,288.577,1695333172.0,0
43.2985,288.93489999999997,1695333177.0,0
43.4839,289.3311,1695333182.0,0
43.6511,289.6935,1695333187.0,0
43.8171,290.058,1695333192.0,0
43.9981,290.4614,1695333198.0,0
44.1612,290.8304,1695333203.0,0
44.3231,291.2016,1695333208.0,0
44.4996,291.6124,1695333213.0,0
44.6585,291.98810000000003,1695333218.0,0
44.8318,292.4039,1695333224.0,0
44.9879,292.7842,1695333229.0,0
45.1426,293.1667,1695333234.0,0
45.311,293.5899,1695333239.0,0
45.4627,293.9769,1695333244.0,0
45.6278,294.4053,1695333250.0,0
45.7764,294.7969,1695333255.0,0
45.9234,295.19079999999997,1695333260.0,0
46.0834,295.6266,1695333265.0,0
46.2273,296.0251,1695333270.0,0
46.3838,296.4659,1695333276.0,0
46.5243,296.869,1695333281.0,0
46.6633,297.2742,1695333286.0,0
46.8144,297.72249999999997,1695333291.0,0
46.9501,298.1324,1695333296.0,0
47.0842,298.5444,1695333301.0,0
47.2297,299.0002,1695333307.0,0
47.3603,299.4168,1695333312.0,0
47.502,299.8775,1695333317.0,0
47.629,300.2987,1695333322.0,0
47.7668,300.7643,1695333328.0,0
47.8902,301.1899,1695333333.0,0
48.0119,301.6177,1695333338.0,0
48.1437,302.0906,1695333343.0,0
48.2617,302.5226,1695333348.0,0
48.3894,303.0003,1695333354.0,0
48.5036,303.4368,1695333359.0,0
48.616,303.8754,1695333364.0,0
48.7375,304.3601,1695333369.0,0
48.846,304.803,1695333374.0,0
48.9632,305.2924,1695333380.0,0
49.0781,305.7841,1695333386.0,0
49.1806,306.2333,1695333391.0,0
49.2811,306.6844,1695333396.0,0
49.3895,307.1827,1695333401.0,0
49.486,307.6377,1695333406.0,0
49.5898,308.1404,1695333412.0,0
49.6821,308.5992,1695333417.0,0
49.7725,309.0598,1695333422.0,0
49.8695,309.5687,1695333427.0,0
49.9556,310.0332,1695333432.0,0
50.0397,310.4992,1695333437.0,0
50.1298,311.0139,1695333443.0,0
